               Name                      E11            V12            G12            C11            C12            C44        RelDensity      AniRatio         mass      
    L20G013T34-0_G028T64-1_C9ES       5697.796         0.287        3554.598       7409.831       2982.639       3554.598         0.36           0.623       0.00776904   
    L20G013T34-0_G046T64-0_C9ES       11904.817        0.233        3961.516       13867.997      4212.834       3961.516         0.399          1.219       0.00862477   
    L20G013T34-0_G048T64-0_C9ES       14573.944        0.239        4459.512       17148.255      5385.589       4459.512         0.444          1.319       0.00960086   
    L20G013T34-0_G058T64-2_C9ES       16167.532        0.232        5152.073        18803.1       5680.103       5152.073         0.468          1.274        0.0101145   
    L20G013T34-0_G058T64-6_C9ES        8553.09         0.288        4670.846       11151.193      4510.595       4670.846         0.381          0.711       0.00823878   
    L20G013T34-0_G067T64-0_C9ES       13824.302        0.254        5610.473       16715.501      5691.337       5610.473         0.439          0.982       0.00948861   
    L20G013T34-0_G068T64-3_C9ES       7123.064         0.297        3966.241       9509.467       4017.513       3966.241         0.363          0.692       0.00783405   
    L20G013T34-0_G123T64-0_C9ES       14897.969        0.213        4994.923       16839.497      4557.577       4994.923         0.415          1.229       0.00897437   
    L20G013T34-0_G123T64-1_C9ES       16869.652        0.234        5494.855       19683.762      6013.055       5494.855         0.413          1.244       0.00892557   
    L20G013T34-0_G123T64-2_C9ES       9761.404         0.262        4208.552       11992.296      4257.428       4208.552         0.352          0.919       0.00760178   
    L20G013T34-0_G12T64-0_C9ES        16164.476        0.237         6107.37       18955.303       5887.82        6107.37         0.496          1.07        0.01072322   
    L20G013T34-0_G12T64-2_C9ES        11439.906        0.263        5066.952       14083.424      5025.699       5066.952         0.415          0.894       0.00896703   
    L20G013T34-0_G17T64-1_C9ES        12229.93         0.204        3692.668       13658.055      3500.305       3692.668         0.432          1.375       0.00933026   
          L20G013T34-1ES              3039.988         0.338        1954.783       4642.252       2370.213       1954.783         0.194          0.581       0.00419372   
   L20G013T34-1_G0128T64-2_C9ES       10419.729        0.288        5034.764       13584.845      5494.994       5034.764         0.426          0.803       0.00921002   
   L20G013T34-1_G0128T64-3_C9ES       12813.877        0.264        5537.697       15807.722      5670.161       5537.697         0.431          0.915       0.00930402   
    L20G013T34-1_G023T64-3_C9ES       17235.521        0.274        7542.151       21729.672      8201.006       7542.151         0.482          0.897       0.01040433   
    L20G013T34-1_G025T64-0_C9ES       7815.153         0.309         4660.45       10799.721      4829.398        4660.45         0.358          0.641       0.00774124   
    L20G013T34-1_G046T64-1_C9ES       11909.213        0.233        3962.277       13873.118      4214.389       3962.277         0.399          1.219       0.00862477   
    L20G013T34-1_G048T64-1_C9ES       14574.551        0.238        4459.713       17119.782      5347.123       4459.713         0.444          1.32        0.00960086   
    L20G013T34-1_G058T64-7_C9ES       16168.517        0.232        5151.612       18804.245      5680.449       5151.612         0.468          1.274        0.0101145   
    L20G013T34-1_G067T64-1_C9ES       13831.841        0.254        5608.967       16724.617      5694.441       5608.967         0.439          0.983       0.00948861   
    L20G013T34-1_G123T64-0_C9ES       16868.513        0.234        5495.802       19682.433      6012.649       5495.802         0.413          1.244       0.00892557   
    L20G013T34-1_G12T64-1_C9ES        16150.659        0.238        6105.825       18971.134      5925.367       6105.825         0.496          1.068       0.01072322   
    L20G013T34-1_G12T64-2_C9ES        11422.815        0.264        5061.202       14091.651      5054.614       5061.202         0.415          0.893       0.00897137   
          L20G0145T64-0ES             2111.877         0.299         957.531       2834.989       1209.218        957.531         0.164          0.849        0.0035443   
          L20G0145T64-1ES              2111.48         0.298         956.948       2826.624       1199.906        956.948         0.164          0.85        0.00354191   
          L20G014T64-0ES              9408.315         0.263        4000.981       11582.376      4133.195       4000.981         0.366          0.931       0.00790776   
    L20G014T64-0_G015T34-2_C9ES       13707.777        0.27         6231.727       17128.855       6335.33       6231.727         0.468          0.866       0.01010726   
    L20G014T64-0_G017T34-0_C9ES       14173.744        0.276        6524.484       17951.24       6843.291       6524.484         0.478          0.851       0.01032705   
