         Name                 E11            V12            G12            C11            C12            C44        RelDensity      AniRatio         mass      
    L20G013T34-0_G025T64-3_C9S        4700.245         0.318        3083.843       6681.717       3115.522       3083.843         0.263          0.578       0.00568728   
    L20G013T34-0_G027T34-0_C6S        7677.307         0.253        3104.732       9265.129       3137.989       3104.732         0.282          0.987       0.00608318   
    L20G013T34-0_G027T34-2_C6S        5444.125         0.234        1940.506       6352.286       1940.516       1940.506         0.243          1.137       0.00524471   
    L20G013T34-0_G028T64-0_C9S        5389.675         0.314        2634.246       7563.945       3462.214       2634.246         0.269          0.779       0.00580992   
    L20G013T34-0_G028T64-1_C9S        3035.216         0.311         2259.56       4220.018       1904.827        2259.56         0.264          0.512       0.00570023   
    L20G013T34-0_G046T64-0_C9S        7509.725         0.226        2363.509       8651.551       2526.163       2363.509         0.293          1.296       0.00632434   
    L20G013T34-0_G048T64-0_C9S        9529.672         0.213        2634.017       10771.594      2915.311       2634.017         0.334          1.491       0.00721411   
    L20G013T34-0_G058T64-2_C9S        10366.189        0.198        2960.365       11489.463      2836.551       2960.365         0.351          1.461       0.00757298   
    L20G013T34-0_G058T64-6_C9S        5390.665         0.301        3250.095       7277.114       3133.635       3250.095         0.289          0.637       0.00623921   
    L20G013T34-0_G068T64-0_C9S        11440.962        0.236        3160.139       13393.791      4137.349       3160.139         0.357          1.465       0.00770125   
    L20G013T34-0_G068T64-3_C9S        4559.728         0.309        2768.635       6301.065       2817.698       2768.635         0.276          0.629       0.00595881   
    L20G013T34-0_G123T64-0_C9S        10026.375        0.202        3249.472       11168.532      2827.122       3249.472         0.305          1.284       0.00658382   
    L20G013T34-0_G123T64-1_C9S        11533.138        0.229        3624.814       13349.06       3964.896       3624.814         0.304          1.294        0.0065573   
    L20G013T34-0_G123T64-2_C9S        6121.066         0.266        2710.755       7583.044       2748.079       2710.755         0.254          0.892       0.00549012   
     L20G013T34-0_G12T64-0_C9S        9809.291         0.232        3621.397       11408.363      3446.276       3621.397         0.368          1.099       0.00795932   
     L20G013T34-0_G12T64-1_C9S        10526.583        0.23         3740.156       12203.356      3645.158       3740.156         0.374          1.144       0.00808046   
     L20G013T34-0_G12T64-2_C9S        6807.817         0.267        3079.318       8451.802       3078.624       3079.318         0.302          0.872       0.00651756   
     L20G013T34-0_G17T64-1_C9S        7704.351         0.201        2148.942       8571.141       2156.194       2148.942         0.323          1.493       0.00697274   
           L20G013T34-1S              1977.155         0.342        1284.967        3067.8         1594.51       1284.967         0.137          0.573       0.00296167   
    L20G013T34-1_G0128T64-2_C9S       6177.736         0.297        3128.195        8247.43       3484.334       3128.195         0.316          0.761       0.00682344   
    L20G013T34-1_G0128T64-3_C9S       8176.957         0.273         3685.72       10285.89       3862.514        3685.72         0.325          0.871        0.0070284   
    L20G013T34-1_G023T64-3_C9S        11319.435        0.273        5076.983       14238.85       5346.913       5076.983         0.361          0.876       0.00779646   
    L20G013T34-1_G025T64-0_C9S         4701.35         0.318        3084.272       6683.288       3116.254       3084.272         0.263          0.578       0.00568728   
    L20G013T34-1_G046T64-1_C9S        7515.545         0.226        2365.234       8658.256       2528.121       2365.234         0.293          1.296       0.00632434   
    L20G013T34-1_G048T64-1_C9S        9528.759         0.213        2636.012       10770.562      2915.032       2636.012         0.334          1.49        0.00721411   
    L20G013T34-1_G058T64-7_C9S        10360.653        0.198        2957.473       11483.327      2835.036       2957.473         0.351          1.462       0.00757298   
    L20G013T34-1_G068T64-2_C9S        11443.284        0.235        3159.352       13374.245      4108.428       3159.352         0.357          1.466       0.00770133   
    L20G013T34-1_G123T64-0_C9S         11532.0         0.229        3623.998       13347.743      3964.505       3623.998         0.304          1.295        0.0065573   
     L20G013T34-1_G12T64-0_C9S        10538.446        0.23         3740.813       12217.108      3649.266       3740.813         0.374          1.145       0.00808046   
     L20G013T34-1_G12T64-1_C9S        9815.934         0.232        3619.348       11416.089       3448.61       3619.348         0.368          1.101        0.0079571   
     L20G013T34-1_G12T64-2_C9S        6788.556         0.267        3072.223        8427.89       3069.913       3072.223         0.302          0.872       0.00651419   
          L20G0145T64-0S              1316.175          0.3          589.913       1771.774        759.332        589.913         0.117          0.858       0.00253317   
          L20G0145T64-1S              1316.703          0.3          590.843       1772.485        759.636        590.843         0.117          0.857       0.00253254   
           L20G014T64-0S              5298.621         0.283        2585.663       6822.847       2692.979       2585.663         0.268          0.799       0.00578273   
    L20G014T64-0_G015T34-2_C9S        9184.476         0.274        4302.072       11579.322      4370.157       4302.072         0.361          0.838       0.00779117   
    L20G014T64-0_G017T34-0_C9S        9428.415         0.28         4493.606       12053.371      4687.422       4493.606         0.368          0.82        0.00795021   
           L20G014T64-2S              2333.671        -0.413         511.19        3076.401       -899.189        511.19          0.211          3.889       0.00455895   
    L20G014T64-2_G015T34-11_C9S       5645.571         0.086        1685.575       5738.441        539.941       1685.575         0.309          1.542       0.00667567   
    L20G014T64-2_G015T34-2_C9S        7139.199         0.188        2333.673       7819.959       1810.532       2333.673         0.338          1.288       0.00729599   
