Name,E11,V12,G12,C11,C12,C44,RelDensity,AniRatio,mass,Thickness,ID,Type,Fp
L20G025T64-0S,2225.703,0.312,1819.241,3104.088,1407.668,1819.241,0.161,0.466,0.00348706,1.0,"[87, -1]","[0, 1, 0, 0, 1, 1]","[10, 0, 10, 5, 0, 5, 3.333, 3.333, 6.667, 5, 5, 10, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1]"
L20G025T64-0_G017T34-1_C9S,4319.616,0.312,3006.996,6024.374,2731.983,3006.996,0.264,0.547,0.00569397,1.0,"[87, 96]","[0, 1, 1, 0, 1, 1]","[10, 0, 10, 5, 0, 5, 3.333, 3.333, 6.667, 5, 5, 10, 0, 0, 0, 10, 0, 10, 10, 5, 10, 2.5, 2.5, 2.5]"
L20G025T64-0_G017T34-5_C9S,6338.813,0.326,3881.472,9258.595,4478.193,3881.472,0.313,0.616,0.00675785,1.0,"[87, 100]","[0, 1, 1, 0, 1, 1]","[10, 0, 10, 5, 0, 5, 3.333, 3.333, 6.667, 5, 5, 10, 0, 0, 0, 10, 0, 10, 10, 5, 10, 7.5, 7.5, 7.5]"
L20G025T64-0_G025T34-1_C9S,7405.474,0.262,2838.557,9097.937,3229.891,2838.557,0.301,1.034,0.00650675,1.0,"[87, 88]","[1, 1, 1, 0, 1, 1]","[10, 0, 10, 5, 0, 5, 3.333, 3.333, 6.667, 5, 5, 10, 10, 0, 10, 10, 10, 10, 3.333, 3.333, 3.333, 5, 0, 5]"
L20G025T64-0_G025T34-4_C9S,6299.698,0.235,2416.243,7362.721,2261.751,2416.243,0.269,1.056,0.00581331,1.0,"[87, 91]","[1, 1, 1, 0, 1, 1]","[10, 0, 10, 5, 0, 5, 3.333, 3.333, 6.667, 5, 5, 10, 10, 0, 10, 10, 10, 10, 6.667, 6.667, 6.667, 5, 0, 5]"
L20G025T64-0_G027T34-0_C9S,7469.836,0.264,2926.442,9215.095,3305.414,2926.442,0.309,1.01,0.00668496,1.0,"[87, 103]","[1, 1, 1, 0, 1, 1]","[10, 0, 10, 5, 0, 5, 3.333, 3.333, 6.667, 5, 5, 10, 10, 0, 10, 10, 10, 10, 2.5, 2.5, 2.5, 5, 0, 5]"
L20G025T64-0_G027T34-2_C9S,5860.684,0.231,2356.265,6805.097,2044.184,2356.265,0.261,1.01,0.00564142,1.0,"[87, 105]","[1, 1, 1, 0, 1, 1]","[10, 0, 10, 5, 0, 5, 3.333, 3.333, 6.667, 5, 5, 10, 10, 0, 10, 10, 10, 10, 7.5, 7.5, 7.5, 5, 0, 5]"
L20G025T64-3S,2226.274,0.312,1819.259,3104.884,1408.029,1819.259,0.161,2.144,0.00348706,1.0,"[90, -1]","[0, 0, 0, 0, 1, 0]","[0, 0, 10, 5, 5, 10, 3.333, 6.667, 6.667, 0, 5, 5, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1]"
L20G025T64-3_G017T34-0_C9S,6337.032,0.326,3880.366,9255.993,4476.934,3880.366,0.313,0.616,0.00675785,1.0,"[90, 95]","[0, 0, 0, 0, 0, 0]","[0, 0, 10, 5, 5, 10, 3.333, 6.667, 6.667, 0, 5, 5, 0, 0, 10, 10, 10, 10, 2.5, 2.5, 2.5, 0, 0, 5]"
L20G025T64-3_G017T34-4_C9S,4316.206,0.312,3007.551,6019.618,2729.827,3007.551,0.264,0.547,0.00569397,1.0,"[90, 99]","[0, 0, 0, 0, 0, 0]","[0, 0, 10, 5, 5, 10, 3.333, 6.667, 6.667, 0, 5, 5, 0, 0, 10, 10, 10, 10, 7.5, 7.5, 7.5, 0, 0, 5]"
